Model_Group,(All),,,,,,,,,
,,,,,,,,,,
Sum of PV_Capex,Column Labels,,,,,,,,,
Row Labels,2020,2030,2040,2050,2060,2070,2080,2090,2100,Grand Total
POLES ENGAGE,1630.181152,1135.25647,805.0695801,767.6543579,750.2178345,743.7457275,740.2857666,738.1782837,737.2871094,8047.876282
REMIND-MAgPIE 2.1-4.2,878.5228,496.1162,404.8255,359.5263,312.4481,288.774,267.7861,251.3363,236.5896,3495.9249
WITCH 5.0,1061.360728,559.5812139,290.5626281,276.935,276.935,276.935,276.935,276.935,276.935,3573.11457
EN_NPi2020_2000f,3570.06468,2189.736484,1499.207808,1402.812858,1338.999635,1308.587128,1284.185267,1266.330284,1253.241309,15113.16545
POLES ENGAGE,1630.181152,1135.25647,805.0695801,767.6543579,750.2178345,743.7457275,740.2857666,738.1782837,737.2871094,8047.876282
REMIND-MAgPIE 2.1-4.2,878.5228,494.8988,403.5756,358.2235,311.8468,287.9064,266.9645,251.217,239.0192,3492.1746
WITCH 5.0,1061.360728,559.5812139,290.5626281,276.935,276.935,276.935,276.935,276.935,276.935,3573.11457
EN_NPi2020_200f,878.5228,418.0952,357.945,327.3756,285.4277,260.1017,239.203,224.2704,212.72,3203.6614
REMIND-MAgPIE 2.1-4.2,878.5228,418.0952,357.945,327.3756,285.4277,260.1017,239.203,224.2704,212.72,3203.6614
EN_NPi2020_2500,3570.06468,2248.656575,1532.674569,1410.186325,1345.473995,1313.543734,1288.469052,1269.950021,1256.204232,15235.22318
POLES ENGAGE,1630.181152,1158.810669,808.9337769,768.4802246,751.6376953,744.642334,741.145752,738.8939209,737.9924316,8080.717956
REMIND-MAgPIE 2.1-4.2,878.5228,499.9825,410.1299,364.7711,316.9013,291.9664,270.3883,254.1211,241.2768,3528.0602
WITCH 5.0,1061.360728,589.8634055,313.6108921,276.935,276.935,276.935,276.935,276.935,276.935,3626.445026
EN_NPi2020_2500f,3570.06468,2248.609075,1532.638169,1410.171225,1345.469495,1313.539634,1288.465252,1269.947821,1256.203432,15235.10878
POLES ENGAGE,1630.181152,1158.810669,808.9337769,768.4802246,751.6376953,744.642334,741.145752,738.8939209,737.9924316,8080.717956
REMIND-MAgPIE 2.1-4.2,878.5228,499.935,410.0935,364.756,316.8968,291.9623,270.3845,254.1189,241.276,3527.9458
WITCH 5.0,1061.360728,589.8634055,313.6108921,276.935,276.935,276.935,276.935,276.935,276.935,3626.445026
EN_NPi2020_3000,3570.06468,2248.046484,1556.660323,1416.680721,1350.124629,1317.356623,1292.121431,1273.209332,1258.865402,15283.12962
POLES ENGAGE,1630.181152,1135.25647,805.8001099,768.1569214,751.5123291,744.6912231,741.4487305,739.1976318,738.239502,8054.48407
REMIND-MAgPIE 2.1-4.2,878.5228,505.8704,417.8176,371.5888,321.6773,295.7304,273.7377,257.0767,243.6909,3565.7126
WITCH 5.0,1061.360728,606.9196135,333.0426127,276.935,276.935,276.935,276.935,276.935,276.935,3662.932954
EN_NPi2020_3000f,3570.06468,2246.830884,1555.671323,1416.076721,1349.757929,1317.073623,1291.916531,1273.060032,1258.752202,15279.20392
POLES ENGAGE,1630.181152,1135.25647,805.8001099,768.1569214,751.5123291,744.6912231,741.4487305,739.1976318,738.239502,8054.48407
REMIND-MAgPIE 2.1-4.2,878.5228,504.6548,416.8286,370.9848,321.3106,295.4474,273.5328,256.9274,243.5777,3561.7869
WITCH 5.0,1061.360728,606.9196135,333.0426127,276.935,276.935,276.935,276.935,276.935,276.935,3662.932954
EN_NPi2020_300f,2508.703952,1362.904704,1141.137904,1090.799763,1034.674838,1005.384858,981.3422322,964.089582,951.1863649,11040.2242
POLES ENGAGE,1630.181152,942.3363037,781.8363037,761.3515625,746.3359375,742.2298584,739.2955322,737.621582,736.8540649,7818.042297
REMIND-MAgPIE 2.1-4.2,878.5228,420.5684,359.3016,329.4482,288.3389,263.155,242.0467,226.468,214.3323,3222.1819
EN_NPi2020_400,878.5228,404.073,342.8734,315.5283,284.4824,265.0084,247.7737,235.422,224.8048,3198.4888
REMIND-MAgPIE 2.1-4.2,878.5228,404.073,342.8734,315.5283,284.4824,265.0084,247.7737,235.422,224.8048,3198.4888
EN_NPi2020_400f,4968.662092,3005.57481,2495.302102,2369.950279,2262.480146,2177.930209,2103.434206,2063.279525,2040.524202,23487.13757
GEM-E3_V2021,1398.597412,1177.995421,1075.206953,1000.297786,948.9216037,893.4734765,842.6101191,820.075412,810.8503039,8968.028487
POLES ENGAGE,1630.181152,965.9020996,782.5276489,761.3981934,746.2737427,742.2059326,739.3494873,737.5880127,736.7875977,7842.213867
REMIND-MAgPIE 2.1-4.2,878.5228,424.0666,360.6325,331.3193,290.3498,265.3158,244.5396,228.6811,215.9513,3239.3788
WITCH 5.0,1061.360728,437.6106889,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3437.516417
EN_NPi2020_450,1061.360728,423.7414717,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3423.6472
WITCH 5.0,1061.360728,423.7414717,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3423.6472
EN_NPi2020_450f,1061.360728,439.0544428,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3438.960171
WITCH 5.0,1061.360728,439.0544428,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3438.960171
EN_NPi2020_500,4968.662092,2852.493956,2478.730242,2356.430698,2258.391629,2181.371777,2107.938327,2071.99909,2051.19508,23327.21289
GEM-E3_V2021,1398.597412,1163.39598,1070.714005,999.5927592,948.2528396,895.6856114,842.7551427,821.2979657,812.0501104,8952.341826
POLES ENGAGE,1630.181152,849.2331543,778.6625366,757.312439,745.6290894,741.8092651,738.9188843,737.6099243,736.8637695,7716.220215
REMIND-MAgPIE 2.1-4.2,878.5228,410.9823,352.4187,322.5905,287.5747,266.9419,249.3293,236.1562,225.3462,3229.8626
WITCH 5.0,1061.360728,428.8825213,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3428.788249
EN_NPi2020_500f,4968.662092,3050.701337,2498.177585,2372.479129,2264.070157,2182.753759,2106.046138,2066.557833,2042.875211,23552.32324
GEM-E3_V2021,1398.597412,1182.792479,1075.16529,1001.083402,948.8151612,896.1724802,842.6344895,820.7786046,811.2630013,8977.30232
POLES ENGAGE,1630.181152,998.8930054,784.829895,761.9780273,746.3605957,742.3253784,739.4521484,737.5795288,736.8048096,7878.404541
REMIND-MAgPIE 2.1-4.2,878.5228,426.7135,361.2474,332.4827,291.9594,267.3209,247.0245,231.2647,217.8724,3254.4083
WITCH 5.0,1061.360728,442.3023521,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3442.20808
EN_NPi2020_600,4968.662092,2874.198892,2486.565894,2365.250553,2261.344915,2184.443992,2112.171249,2072.90437,2052.219632,23377.76159
GEM-E3_V2021,1398.597412,1166.5678,1072.32871,1000.813441,948.4251253,897.3758262,845.8805783,821.3525267,812.6946262,8964.036046
POLES ENGAGE,1630.181152,854.1102905,779.5886841,759.0349121,746.1644897,742.3753662,739.2600708,737.7513428,736.9685059,7725.434814
REMIND-MAgPIE 2.1-4.2,878.5228,416.8564,357.7135,328.4672,289.8203,267.7578,250.0956,236.8655,225.6215,3251.7206
WITCH 5.0,1061.360728,436.6644017,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3436.57013
EN_NPi2020_600_COV,2279.12953,1659.141396,1502.231066,1389.120831,1283.210957,1211.218588,1154.659895,1109.692999,1073.052079,12661.45734
GEM-E3_V2021,1398.58803,1227.880096,1133.166966,1046.703331,979.5086573,930.0047884,891.8165954,861.3533993,836.4088789,9305.430742
REMIND-MAgPIE 2.1-4.2,880.5415,431.2613,369.0641,342.4175,303.7023,281.2138,262.8433,248.3396,236.6432,3356.0266
EN_NPi2020_600f,4968.662092,3101.633361,2505.894806,2375.563213,2268.073754,2183.83559,2108.594634,2068.982982,2045.137091,23626.37752
GEM-E3_V2021,1398.597412,1186.670882,1078.633372,1001.771433,951.1876649,895.6434765,843.2302885,821.1321874,811.5746887,8988.441405
POLES ENGAGE,1630.181152,1038.269165,787.9418335,763.2617798,746.5264893,742.3015137,739.6017456,737.5220947,736.7843018,7922.390075
REMIND-MAgPIE 2.1-4.2,878.5228,430.1765,362.3846,333.595,293.4246,268.9556,248.8276,233.3937,219.8431,3269.1235
WITCH 5.0,1061.360728,446.5168141,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3446.422542
EN_NPi2020_600f_COV,3909.556044,2747.632848,2296.85014,2155.990517,2031.150921,1952.910869,1892.451624,1844.831557,1806.724341,20638.09886
GEM-E3_V2021,1398.58803,1227.959066,1133.166754,1046.696514,979.4679882,929.9524525,891.770631,861.3155459,836.3783477,9305.295329
POLES ENGAGE,1630.426514,1076.781982,789.3953857,764.2384033,747.3981323,742.9868164,740.300293,737.8485107,736.9382935,7966.314331
REMIND-MAgPIE 2.1-4.2,880.5415,442.8918,374.288,345.0556,304.2848,279.9716,260.3807,245.6675,233.4077,3366.4892
EN_NPi2020_700,3570.06468,1788.075048,1418.361315,1369.749127,1315.725678,1288.242821,1266.99688,1252.049444,1239.866554,14509.13155
POLES ENGAGE,1630.181152,919.7241211,780.0598145,760.2103271,746.1378784,742.2064209,739.3148804,737.6205444,736.862854,7792.317993
REMIND-MAgPIE 2.1-4.2,878.5228,427.1977,361.3665,332.6038,292.6528,269.1014,250.747,237.4939,226.0687,3275.7546
WITCH 5.0,1061.360728,441.1532266,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3441.058955
EN_NPi2020_700f,3570.06468,1955.550896,1430.752877,1376.058099,1318.59665,1289.618445,1266.935187,1250.227059,1236.238477,14694.04237
POLES ENGAGE,1630.181152,1068.924316,789.7108765,764.2911987,746.7989502,742.3033447,739.5770874,737.6626587,736.8134766,7956.263061
REMIND-MAgPIE 2.1-4.2,878.5228,432.7143,364.107,334.8319,294.8627,270.3801,250.4231,235.6294,222.49,3283.9613
WITCH 5.0,1061.360728,453.9122803,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3453.818008
EN_NPi2020_800,4968.662092,3067.298196,2500.882548,2375.368568,2269.696674,2187.88955,2114.959916,2075.15754,2053.327908,23613.24299
GEM-E3_V2021,1398.597412,1182.420509,1075.191463,1001.625232,950.8775304,897.4336269,846.9340637,822.6407989,812.9090638,8988.6297
POLES ENGAGE,1630.181152,992.126709,783.9943848,761.6672363,746.2419434,742.2584229,739.458252,737.6144409,736.8705444,7870.413086
